no,Tgl_Iklan,url,harga,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,Judul,deskripsi
65,4/5/2021,https://www.rumah123.com/properti/palembang/hos8124967/,1300000000,Palembang,200,85,3,2,0,0,0,0,2200,SHM,Rumah Cantik di Cluster Pavilion Type Jasmine Komplek Citra Grand City Palembang,"Rumah Posisi Hook ( bagian belakang lebih lebar daripada depan, sehingga bentuk tanah kantong. Cukup luas tanah sisa belakang dan samping kanan. Kawasan perumahan aman nyaman, bebas banjir, security 24 jam. Cocok untuk hunian bersama keluarga tercinta."
66,4/5/2021,https://www.rumah123.com/properti/palembang/hos8124643/,1900000000,Palembang,159,140,2,2,0,0,1,0,2200,SHM,Rumah Tinggal Murah di Area Dempo Dalam Jl. Lingkaran 1 Palembang,"Rumah berada di tengah kota palembang,lokasi nyaman padat penduduk, Cocok sekali untuk rumah pribadi, kantor / kosan, Investasi."
67,4/5/2021,https://www.rumah123.com/properti/palembang/hos8124332/,2200000000,Palembang,200,280,5,4,0,0,1,2,2200,SHM,New Listing Townhouse Mewah di Pusat Kota Jl. Kemang Area Demang Lebar Daun,"Kondisi Townhouse sedang dalam tahap pembangunan, bangunan 2,5 lantai, lokasi dikawasan yang strategis dengan akses kemana-mana mudah."
68,3/30/2021,https://www.rumah123.com/properti/palembang/hos8098731/,370000000,Palembang,170,90,3,2,0,0,0,0,1300,SHM,Rumah Dengan Halaman luas di Jl. Serasi 1 Komplek Alang Alang Lebar Permai Km 12,Rumah bagus dan siap huni berada di dalam kompleks perumahan Alang Alang lebar permai. Kawasan aman dan nyaman bebas banjir.
69,3/30/2021,https://www.rumah123.com/properti/palembang/hos8098403/,1150000000,Palembang,400,110,3,3,0,0,0,0,1300,SHM,New Listing Cepat Rumah di Komplek TOP 100 Jakabaring Palembang,~ Lokasi dekat Masjid Cengho Jakabaring. ~ Hanya 5 menit ke Stadion.Jakabaring. ~ Dekat Lokasi Perkantoran Pemerintahan Daerah.
70,3/30/2021,https://www.rumah123.com/properti/palembang/hos8098184/,900000000,Palembang,96,150,3,3,0,0,1,0,2200,SHM,New Listing Townhouse Cantik di Komplek Bukit Raflesia Kenten Palembang,"Rumah kondisi bagus ,siap huni,berada dalam komplek one gate system,posisi hook. Parkir luas,bebas banjir.Lingkungan aman dan nyaman, dekat ke bandara dan mudah kemana-mana."
71,4/12/2021,https://www.rumah123.com/properti/palembang/hos8158253/,450000000,Palembang,106,130,4,2,0,0,1,0,2200,SHM,New Listing Rumah Murah di Jl. Kol. Sulaiman Amin Talang Buruk KM 7 Palembang,Akses jalan 2 mobil Lokasi di dekat Masjid Lingkungan Aman dan Nyaman Cocok untuk tempat tinggal keluarga.
72,4/12/2021,https://www.rumah123.com/properti/palembang/hos8158147/,775000000,Palembang,114,100,3,2,0,0,0,0,1300,SHM,New Listing Rumah Cantik Minimalis Murah Dekat SMA 17 Palembang,"Rumah minimalis terawat, bersih dan rapi, mudah diakses, tempat strategis sehingga sangat cocok untuk hunian bersasma keluarga anda."
73,3/19/2021,https://www.rumah123.com/properti/palembang/hos8053782/,550000000,Palembang,138,170,4,3,0,0,0,0,2200,SHM,Rumah Murah di Komplek Perumahan Surya Akbar 2 Talang Jambe Palembang,"Dekat pasar tradisional, Dekat sekolah ( SD , SMPN 59.Pesantren ) , 7 menit ke Bandara Internasional SMB II.Palembang, 15 Menit menuju Pelabuhan Tanjung Api- Api."
74,3/16/2021,https://www.rumah123.com/properti/palembang/hos8040695/,3300000000,Palembang,332,116,5,3,0,0,1,0,1300,SHM,New Listing Cepat Rumah Siap Huni di Jl. Dwikora II Palembang,"hanya 2 menit ke PS Mall, 2 menit ke RS Siloam, 2 menit ke Aryaduta Hotel, 3 menit ke LRT, 5 menit ke kantor Gubernur, Rumah Cocok di buat Kos Kosan,mess,atau investasi Lingkungan aman dan nyaman, siap huni tanpa renov lagi Dekat dengan pusat perbelanjaan, perkantoran dan sekolah. nyaman untuk hunian bersama keluarga."
